detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;False
orb;\\VBOXSVR\evaluation_screenshots\exe_self_remove-2-1.png;exe_self_remove-2-1.png;exe_self_remove;01_Jibberish-Mittel;200,4516;221,7271;295,8913;718,07;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_self_remove-3-1.png;exe_self_remove-3-1.png;exe_self_remove;01_Jibberish-Mittel;296,7853;394,0576;208,8806;899,7235;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_self_remove-4-1.png;exe_self_remove-4-1.png;exe_self_remove;01_Jibberish-Mittel;318,2451;314,36;185,8686;818,4737;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_self_remove-5-1.png;exe_self_remove-5-1.png;exe_self_remove;01_Jibberish-Mittel;214,3788;423,9225;124,032;762,3333;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-1-1.png;exe_updater_generic-1-1.png;exe_updater_generic;01_Jibberish-Mittel;132,494;268,7428;109,5188;510,7556;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-1-2.png;exe_updater_generic-1-2.png;exe_updater_generic;01_Jibberish-Mittel;129,6916;165,1724;116,079;410,943;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-1-3.png;exe_updater_generic-1-3.png;exe_updater_generic;01_Jibberish-Mittel;133,8328;193,0207;180,1354;506,9889;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-1-4.png;exe_updater_generic-1-4.png;exe_updater_generic;01_Jibberish-Mittel;137,7916;185,0654;113,1934;436,0504;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-2-1.png;exe_updater_generic-2-1.png;exe_updater_generic;01_Jibberish-Mittel;307,2573;305,0849;114,3262;726,6684;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-2-2.png;exe_updater_generic-2-2.png;exe_updater_generic;01_Jibberish-Mittel;198,7134;504,3947;119,8508;822,9589;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-2-3.png;exe_updater_generic-2-3.png;exe_updater_generic;01_Jibberish-Mittel;189,362;411,4926;187,9986;788,8532;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-2-4.png;exe_updater_generic-2-4.png;exe_updater_generic;01_Jibberish-Mittel;197,5423;305,3522;275,1682;778,0627;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-3-1.png;exe_updater_generic-3-1.png;exe_updater_generic;01_Jibberish-Mittel;198,9698;450,9159;123,439;773,3247;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-3-2.png;exe_updater_generic-3-2.png;exe_updater_generic;01_Jibberish-Mittel;203,7442;391,4521;210,8071;806,0034;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-3-3.png;exe_updater_generic-3-3.png;exe_updater_generic;01_Jibberish-Mittel;318,447;522,0008;124,0492;964,497;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-3-4.png;exe_updater_generic-3-4.png;exe_updater_generic;01_Jibberish-Mittel;126,4676;299,4772;187,3692;613,314;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-4-1.png;exe_updater_generic-4-1.png;exe_updater_generic;01_Jibberish-Mittel;133,4592;618,3824;169,3541;921,1957;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-4-2.png;exe_updater_generic-4-2.png;exe_updater_generic;01_Jibberish-Mittel;203,5743;607,8706;121,7105;933,1554;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-4-3.png;exe_updater_generic-4-3.png;exe_updater_generic;01_Jibberish-Mittel;192,0194;427,1349;184,7063;803,8606;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-4-4.png;exe_updater_generic-4-4.png;exe_updater_generic;01_Jibberish-Mittel;135,7154;393,2289;212,5405;741,4848;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-5-1.png;exe_updater_generic-5-1.png;exe_updater_generic;01_Jibberish-Mittel;377,3718;206,5401;108,4887;692,4006;False;0;False
