detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;01_Jibberish-Mittel;199,4318;115,613;12,0659;327,1107;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;02_Link_Only-Schwer;81,3032;320,363;108,7553;64,5829;575,0044;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;03_Targo_Bank-Schwer;100,4906;510,865;122,747;75,9263;810,0289;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;04_Targeted_IT_Abteilung-Einfach;226,591;498,8301;126,2368;74,2872;925,9451;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;04_Targeted_IT_Abteilung-Schwer;381,7119;624,2801;503,9419;13,4099;1523,3438;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;05_Newsletter-Schwer;629,1555;524,7303;418,4917;10,2768;1582,6543;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;06_Versichertenkarte-Schwer;316,073;483,8363;95,4011;16,373;911,6834;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;07_Paypal-Mittel;412,6038;622,6012;100,2346;13,3154;1148,755;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;08_Weiterbildung-Schwer;506,3111;1257,6639;197,7314;14,0227;1975,7291;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;12_IT_Ticket-Mittel;1021,8382;504,3195;99,6062;14,5759;1640,3398;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;browser_advertisement;939,1729;201,4989;121,0629;7,7138;1269,4485;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;browser_defacing;929,0355;95,6475;33,8196;6,8477;1065,3503;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;email-bounce-exchange-de;1037,3787;99,8131;106,2984;71,9643;1315,4545;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_anti_virus_extended;1120,2272;12,7306;111,6823;75,469;1320,1091;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_anti_virus_simple;1124,4075;72,1;124,4943;177,9331;1498,9349;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_file_scanner;1342,9506;196,1751;101,5524;14,7364;1655,4145;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_login_window;1346,1215;79,5108;411,019;6,0321;1842,6834;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_self_remove;1545,8991;13,8409;111,3065;6,6543;1677,7008;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_generic;1313,5751;18,6302;116,7023;378,802;1827,7096;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_human;1344,4023;179,3301;106,9149;10,1084;1640,7557;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_java;1752,9301;102,69;43,1432;18,1623;1916,9256;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_remote;1748,7379;16,4063;111,8165;68,8471;1945,8078;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;exe_updater_simple;1631,0768;14,8174;199,83;72,2654;1917,9896;False;0
orb;\\VBOXSVR\build_cache\win7_1280-1024_black_empty.png;ms_word_protected_view;1243,9746;298,6261;99,6012;12,5787;1654,7806;False;0
