detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-2-6.png;01_Jibberish-Mittel;136,3574;477,4012;116,5682;730,3268;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-2-7.png;01_Jibberish-Mittel;226,5148;193,9464;187,9377;608,3989;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-2-8.png;01_Jibberish-Mittel;200,7064;337,6653;185,0597;723,4314;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-2-9.png;01_Jibberish-Mittel;199,0744;303,8091;208,9633;711,8468;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-1.png;01_Jibberish-Mittel;212,6136;314,9148;283,8709;811,3993;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-10.png;01_Jibberish-Mittel;129,9943;392,4635;114,3967;636,8545;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-11.png;01_Jibberish-Mittel;131,6381;295,5459;194,4305;621,6145;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-12.png;01_Jibberish-Mittel;308,473;235,3383;161,1868;704,9981;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-2.png;01_Jibberish-Mittel;196,0308;391,0417;126,5009;713,5734;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-3.png;01_Jibberish-Mittel;123,5533;298,529;193,0082;615,0905;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-4.png;01_Jibberish-Mittel;299,5737;305,4073;116,5379;721,5189;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-5.png;01_Jibberish-Mittel;191,6381;209,697;114,4019;515,737;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-6.png;01_Jibberish-Mittel;213,7918;305,08;117,8122;636,684;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-7.png;01_Jibberish-Mittel;125,6912;406,2027;186,0842;717,9781;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-8.png;01_Jibberish-Mittel;189,2473;231,9953;219,4818;640,7244;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-3-9.png;01_Jibberish-Mittel;300,6782;214,5902;198,9016;714,17;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-1.png;01_Jibberish-Mittel;124,7928;305,915;130,4416;561,1494;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-10.png;01_Jibberish-Mittel;195,3995;220,9759;278,5032;694,8786;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-11.png;01_Jibberish-Mittel;227,8379;230,2523;123,1513;581,2415;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-12.png;01_Jibberish-Mittel;192,689;310,9761;124,2185;627,8836;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-2.png;01_Jibberish-Mittel;191,7251;296,1237;219,916;707,7648;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-3.png;01_Jibberish-Mittel;215,2501;288,2641;113,9291;617,4433;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-4.png;01_Jibberish-Mittel;205,6391;126,6717;212,6438;544,9546;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-5.png;01_Jibberish-Mittel;239,8895;288,4962;114,1661;642,5518;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-6.png;01_Jibberish-Mittel;204,0594;405,2746;188,7669;798,1009;False;0
orb;\\VBOXSVR\evaluation_screenshots\not_artifacts-4-7.png;01_Jibberish-Mittel;192,1032;231,4036;191,2777;614,7845;False;0
