detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;goal
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-2-4.png;exe_file_scanner-2-4.png;exe_file_scanner;01_Jibberish-Mittel;190,8546;313,4116;191,1794;695,4456;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-3-1.png;exe_file_scanner-3-1.png;exe_file_scanner;01_Jibberish-Mittel;198,722;425,1913;187,216;811,1293;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-3-2.png;exe_file_scanner-3-2.png;exe_file_scanner;01_Jibberish-Mittel;214,3873;297,7979;185,56;697,7452;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-3-3.png;exe_file_scanner-3-3.png;exe_file_scanner;01_Jibberish-Mittel;200,4196;396,6965;125,0232;722,1393;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-3-4.png;exe_file_scanner-3-4.png;exe_file_scanner;01_Jibberish-Mittel;231,7655;296,8135;199,3275;727,9065;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-4-1.png;exe_file_scanner-4-1.png;exe_file_scanner;01_Jibberish-Mittel;200,5229;230,2495;195,5696;626,342;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-4-2.png;exe_file_scanner-4-2.png;exe_file_scanner;01_Jibberish-Mittel;214,7543;317,3141;195,7059;727,7743;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-4-3.png;exe_file_scanner-4-3.png;exe_file_scanner;01_Jibberish-Mittel;126,6917;398,1889;190,5975;715,4781;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-4-4.png;exe_file_scanner-4-4.png;exe_file_scanner;01_Jibberish-Mittel;129,7491;476,3125;125,7858;731,8474;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-5-1.png;exe_file_scanner-5-1.png;exe_file_scanner;01_Jibberish-Mittel;199,7959;313,2037;203,3077;716,3073;False;0;False
