detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-1-1.png;01_Jibberish-Mittel;219,1375;109,4559;129,7632;458,3566;False;0
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-1-2.png;01_Jibberish-Mittel;293,0428;94,396;211,1853;598,6241;True;158
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-2-1.png;01_Jibberish-Mittel;403,1686;204,684;113,7673;721,6199;True;149
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-2-2.png;01_Jibberish-Mittel;206,0301;213,7344;206,9336;626,6981;True;152
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-3-1.png;01_Jibberish-Mittel;212,1546;211,854;183,2373;607,2459;False;0
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-3-2.png;01_Jibberish-Mittel;284,998;237,298;175,0452;697,3412;True;119
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-4-1.png;01_Jibberish-Mittel;512,7511;190,6306;117,608;820,9897;True;132
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-4-2.png;01_Jibberish-Mittel;210,7924;305,5869;204,3439;720,7232;True;69
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-5-1.png;01_Jibberish-Mittel;214,2813;116,4458;110,9918;441,7189;True;107
orb;\\VBOXSVR\evaluation_screenshots\01_Jibberish-Mittel-5-2.png;01_Jibberish-Mittel;219,8433;212,3339;281,6411;713,8183;True;169
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-1-1.png;01_Jibberish-Mittel;214,1826;103,6093;117,3878;435,1797;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-1-2.png;01_Jibberish-Mittel;217,1411;209,4866;191,824;618,4517;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-2-1.png;01_Jibberish-Mittel;270,7479;211,1584;129,8334;611,7397;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-2-2.png;01_Jibberish-Mittel;274,7758;248,4246;122,7697;645,9701;False;0
orb;\\VBOXSVR\evaluation_screenshots\02_Link_Only-Schwer-3-1.png;01_Jibberish-Mittel;214,3909;207,6413;124,2175;546,2497;False;0
