detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;101,3204;87,5011;6,8136;195,6351;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,0242;95,3414;7,6698;194,0354;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,6789;94,0604;7,0489;120,7882;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;106,8955;99,6587;6,8759;213,4301;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;86,1371;89,339;7,4557;182,9318;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,9761;97,8809;69,4458;187,3028;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;89,214;92,2656;7,3706;188,8502;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,3048;28,9221;6,9539;121,1808;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;92,6334;95,4111;6,8194;194,8639;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;101,167;91,4958;7,3094;199,9722;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4153;109,1789;7,287;135,8812;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4335;89,63;75,7085;184,772;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4035;98,0923;68,585;186,0808;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;88,8005;90,9278;7,3579;187,0862;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;81,8153;29,85;7,4912;119,1565;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,2867;30,3476;6,8193;128,4536;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;21,6035;97,6782;7,1754;126,4571;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,8645;97,4871;7,6724;196,024;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,6789;97,8512;6,9801;124,5102;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;79,6394;95,5758;6,8305;182,0457;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;86,3211;29,1977;69,4103;184,9291;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4267;92,3033;8,1757;119,9057;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;87,5594;36,9127;7,0145;131,4866;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;87,0826;28,981;69,6694;185,733;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,2269;30,9245;87,0451;203,1965;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,4222;95,0717;6,9185;121,4124;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;106,7813;91,5653;7,3352;205,6818;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;82,935;30,4053;63,0154;176,3557;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,9596;98,3631;7,0319;125,3546;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,2227;94,6981;6,8316;121,7524;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;88,4492;89,658;7,2721;185,3793;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;82,3107;104,7027;6,9607;193,9741;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;21,7478;85,9121;7,0689;114,7288;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;111,135;97,747;7,3272;216,2092;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;76,7753;96,2444;6,9111;179,9308;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;83,2329;31,038;62,6498;176,9207;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,4602;99,5941;6,8611;126,9154;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;76,4599;95,3658;7,2344;179,0601;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,2627;94,6482;7,5608;192,4717;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;77,5073;116,8275;7,1718;201,5066;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,8137;91,3588;6,896;118,0685;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;105,5652;90,1975;74,707;270,4697;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,527;97,2043;8,0593;196,7906;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,9213;104,8517;6,8969;132,6699;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;75,689;98,5893;19,7127;193,991;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;77,9694;30,0681;7,6464;115,6839;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;94,0316;100,8572;7,2561;202,1449;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,4685;102,709;7,255;130,4325;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,8023;111,8829;6,9997;139,6849;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,736;88,0674;74,9937;182,7971;False;0
